variable,earliest_warning_hours,max_effect_size,always_significant
HR,9.0,0.22006148503876255,True
O2Sat,9.0,0.07840308024477016,True
Temp,9.0,0.28296054307865903,True
SBP,9.0,0.1616192053081149,True
MAP,9.0,0.19058204039382998,True
DBP,9.0,0.15273103752001405,False
Resp,9.0,0.17380164912190899,True
HCO3,9.0,0.21285001085304966,False
FiO2,9.0,0.21222693051384378,False
BUN,9.0,0.3424103523134465,True
Calcium,9.0,0.26095266875684664,False
Lactate,9.0,0.22589449107086512,False
WBC,9.0,0.26213829248093345,False
Glucose,8.0,0.10959124087591232,False
Creatinine,8.0,0.3783182094560791,True
Chloride,7.0,0.17883977167131282,False
Bilirubin_total,7.0,0.28507849562282983,False
Phosphate,6.0,0.23136297587910493,False
pH,5.0,0.1563139003855354,False
AST,4.0,0.24032953822219083,False
Potassium,4.0,0.13851894391725383,False
Platelets,3.0,0.16995869575368572,False
TroponinI,2.0,0.3325714285714285,False
SaO2,1.0,0.2250928039473381,False
EtCO2,,0.08589662977867207,False
BaseExcess,,0.1064408197406943,False
PaCO2,,0.10329915232877429,False
Alkalinephos,,0.12132846280005971,False
Bilirubin_direct,,,False
Magnesium,,0.10177094710563273,False
Hct,,0.06659277586046897,False
Hgb,,0.0750770461684348,False
PTT,,0.21857120152574705,False
Fibrinogen,,0.2379032258064515,False
